13.41,3.84,2.12,18.8,90,2.45,2.68,.27,1.48,4.28,.91,3,1035
13.88,1.89,2.59,15,101,3.25,3.56,.17,1.7,5.43,.88,3.56,1095
13.24,3.98,2.29,17.5,103,2.64,2.63,.32,1.66,4.36,.82,3,680
13.05,1.77,2.1,17,107,3,3,.28,2.03,5.04,.88,3.35,885
14.21,4.04,2.44,18.9,111,2.85,2.65,.3,1.25,5.24,.87,3.33,1080
14.38,3.59,2.28,16,102,3.25,3.17,.27,2.19,4.9,1.04,3.44,1065
13.9,1.68,2.12,16,101,3.1,3.39,.21,2.14,6.1,.91,3.33,985
14.1,2.02,2.4,18.8,103,2.75,2.92,.32,2.38,6.2,1.07,2.75,1060
13.94,1.73,2.27,17.4,108,2.88,3.54,.32,2.08,8.90,1.12,3.1,1260
13.05,1.73,2.04,12.4,92,2.72,3.27,.17,2.91,7.2,1.12,2.91,1150
13.83,1.65,2.6,17.2,94,2.45,2.99,.22,2.29,5.6,1.24,3.37,1265
13.82,1.75,2.42,14,111,3.88,3.74,.32,1.87,7.05,1.01,3.26,1190
13.77,1.9,2.68,17.1,115,3,2.79,.39,1.68,6.3,1.13,2.93,1375
13.74,1.67,2.25,16.4,118,2.6,2.9,.21,1.62,5.85,.92,3.2,1060
13.56,1.73,2.46,20.5,116,2.96,2.78,.2,2.45,6.25,.98,3.03,1120
14.22,1.7,2.3,16.3,118,3.2,3,.26,2.03,6.38,.94,3.31,970
13.29,1.97,2.68,16.8,102,3,3.23,.31,1.66,6,1.07,2.84,1270
13.72,1.43,2.5,16.7,108,3.4,3.67,.19,2.04,6.8,.89,2.87,1285
12.37,.94,1.36,10.6,88,1.98,.57,.28,.42,1.95,1.05,1.82,520
12.33,1.1,2.28,16,101,2.05,1.09,.63,.41,3.27,1.25,1.67,680
12.25,1.73,2.12,19,80,1.65,2.03,.37,1.63,3.4,1,3.17,510
12.72,1.75,2.28,22.5,84,1.38,1.76,.48,1.63,3.3,.88,2.42,488
12.22,1.29,1.94,19,92,2.36,2.04,.39,2.08,2.7,.86,3.02,312
11.61,1.35,2.7,20,94,2.74,2.92,.29,2.49,2.65,.96,3.26,680
11.46,3.74,1.82,19.5,107,3.18,2.58,.24,3.58,2.9,.75,2.81,562
12.52,2.43,2.17,21,88,2.55,2.27,.26,1.22,2,.9,2.78,325
11.76,2.68,2.92,20,103,1.75,2.03,.6,1.05,3.8,1.23,2.5,607
11.41,.74,2.5,21,88,2.48,2.01,.42,1.44,3.08,1.1,2.31,434
12.08,1.39,2.5,22.5,84,2.56,2.29,.43,1.04,2.9,.93,3.19,385
11.03,1.51,2.2,21.5,85,2.46,2.17,.52,2.01,1.9,1.71,2.87,407
11.82,1.47,1.99,20.8,86,1.98,1.6,.3,1.53,1.95,.95,3.33,495
12.42,1.61,2.19,22.5,108,2,2.09,.34,1.61,2.06,1.06,2.96,345
12.77,3.43,1.98,16,80,1.63,1.25,.43,.83,3.4,.7,2.12,372
12,3.43,2,19,87,2,1.64,.37,1.87,1.28,.93,3.05,564
11.45,2.4,2.42,20,96,2.9,2.79,.32,1.83,3.25,.8,3.39,625
11.56,2.05,3.23,28.5,119,3.18,5.08,.47,1.87,6,.93,3.69,465
12.42,4.43,2.73,26.5,102,2.2,2.13,.43,1.71,2.08,.92,3.12,365
13.05,5.8,2.13,21.5,86,2.62,2.65,.3,2.01,2.6,.73,3.1,380
11.87,4.31,2.39,21,82,2.86,3.03,.21,2.91,2.8,.75,3.64,380
12.07,2.16,2.17,21,85,2.6,2.65,.37,1.35,2.76,.86,3.28,378
12.43,1.53,2.29,21.5,86,2.74,3.15,.39,1.77,3.94,.69,2.84,352
11.79,2.13,2.78,28.5,92,2.13,2.24,.58,1.76,3,.97,2.44,466
12.37,1.63,2.3,24.5,88,2.22,2.45,.4,1.9,2.12,.89,2.78,342
12.04,4.3,2.38,22,80,2.1,1.75,.42,1.35,2.6,.79,2.57,580
12.86,1.35,2.32,18,122,1.51,1.25,.21,.94,4.1,.76,1.29,630
12.88,2.99,2.4,20,104,1.3,1.22,.24,.83,5.4,.74,1.42,530
12.81,2.31,2.4,24,98,1.15,1.09,.27,.83,5.7,.66,1.36,560
12.7,3.55,2.36,21.5,106,1.7,1.2,.17,.84,5,.78,1.29,600
12.51,1.24,2.25,17.5,85,2,.58,.6,1.25,5.45,.75,1.51,650
12.6,2.46,2.2,18.5,94,1.62,.66,.63,.94,7.1,.73,1.58,695
12.25,4.72,2.54,21,89,1.38,.47,.53,.8,3.85,.75,1.27,720
12.53,5.51,2.64,25,96,1.79,.6,.63,1.1,5,.82,1.69,515
13.49,3.59,2.19,19.5,88,1.62,.48,.58,.88,5.7,.81,1.82,580
12.84,2.96,2.61,24,101,2.32,.6,.53,.81,4.92,.89,2.15,590
12.93,2.81,2.7,21,96,1.54,.5,.53,.75,4.6,.77,2.31,600
13.36,2.56,2.35,20,89,1.4,.5,.37,.64,5.6,.7,2.47,780
13.52,3.17,2.72,23.5,97,1.55,.52,.5,.55,4.35,.89,2.06,520
13.62,4.95,2.35,20,92,2,.8,.47,1.02,4.4,.91,2.05,550
12.25,3.88,2.2,18.5,112,1.38,.78,.29,1.14,8.21,.65,2,855
13.16,3.57,2.15,21,102,1.5,.55,.43,1.3,4,.6,1.68,830
13.88,5.04,2.23,20,80,.98,.34,.4,.68,4.9,.58,1.33,415
12.87,4.61,2.48,21.5,86,1.7,.65,.47,.86,7.65,.54,1.86,625
13.32,3.24,2.38,21.5,92,1.93,.76,.45,1.25,8.42,.55,1.62,650
13.08,3.9,2.36,21.5,113,1.41,1.39,.34,1.14,9.40,.57,1.33,550
13.5,3.12,2.62,24,123,1.4,1.57,.22,1.25,8.60,.59,1.3,500
12.79,2.67,2.48,22,112,1.48,1.36,.24,1.26,10.8,.48,1.47,480
13.11,1.9,2.75,25.5,116,2.2,1.28,.26,1.56,7.1,.61,1.33,425
13.23,3.3,2.28,18.5,98,1.8,.83,.61,1.87,10.52,.56,1.51,675
12.58,1.29,2.1,20,103,1.48,.58,.53,1.4,7.6,.58,1.55,640
13.17,5.19,2.32,22,93,1.74,.63,.61,1.55,7.9,.6,1.48,725
13.84,4.12,2.38,19.5,89,1.8,.83,.48,1.56,9.01,.57,1.64,480
12.45,3.03,2.64,27,97,1.9,.58,.63,1.14,7.5,.67,1.73,880
14.34,1.68,2.7,25,98,2.8,1.31,.53,2.7,13,.57,1.96,660
